Input Number, Run_Number, Result@ 100, prey_g616, prey_ccdB, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 049, F, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 99, 0, 107, 105, 105, 98, 97, 89, 50, 74, 0, 98, 0, 38, 38, 0, 21, 105, 0, 0, 0, 103, 96, 108, 109, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 36, 0, 36, 36, 0, 0, 80, 58, 108, 0, 0
INVAR-1, Run: 050, F, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 98, 0, 89, 88, 88, 107, 107, 94, 66, 87, 0, 98, 0, 28, 49, 0, 31, 92, 0, 0, 0, 91, 106, 120, 121, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 38, 0, 38, 38, 0, 0, 101, 70, 90, 0, 0
INVAR-1, Run: 051, F, 0, 1, 1, 1, 0, 3, 1, 1, 0, 1, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 103, 0, 103, 101, 100, 115, 115, 93, 64, 55, 0, 102, 0, 28, 25, 0, 20, 107, 0, 0, 0, 106, 124, 76, 76, 1, 1, 0, 0, 2, 0, 0, 0, 121, 0, 0, 28, 2, 30, 28, 0, 0, 79, 59, 106, 0, 0
INVAR-1, Run: 052, F, 0, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 82, 0, 108, 101, 101, 114, 113, 124, 74, 86, 0, 81, 0, 49, 44, 0, 34, 121, 0, 0, 0, 120, 95, 124, 123, 2, 2, 7, 7, 0, 0, 0, 0, 93, 0, 0, 40, 0, 40, 40, 0, 0, 115, 80, 109, 0, 0
INVAR-1, Run: 053, F, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 110, 0, 91, 117, 117, 106, 106, 81, 42, 86, 0, 109, 0, 39, 43, 0, 22, 111, 0, 0, 0, 111, 93, 118, 119, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 42, 0, 43, 42, 0, 0, 114, 92, 92, 0, 0
INVAR-1, Run: 054, F, 0, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 86, 0, 118, 134, 134, 75, 74, 56, 27, 87, 0, 85, 0, 29, 37, 0, 14, 91, 0, 0, 0, 90, 103, 85, 84, 1, 1, 2, 2, 3, 2, 1, 0, 102, 0, 1, 50, 1, 50, 50, 0, 0, 108, 94, 120, 0, 0
INVAR-1, Run: 055, F, 0, 2, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 101, 0, 101, 119, 118, 99, 98, 70, 40, 62, 0, 100, 0, 29, 30, 0, 23, 105, 0, 0, 0, 105, 104, 110, 109, 1, 1, 1, 1, 0, 0, 0, 0, 103, 0, 0, 29, 0, 31, 29, 0, 0, 99, 74, 101, 0, 0
INVAR-1, Run: 056, F, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 89, 72, 71, 92, 91, 89, 57, 52, 0, 94, 0, 32, 27, 0, 16, 81, 0, 0, 0, 81, 73, 110, 111, 2, 2, 3, 3, 2, 2, 0, 0, 72, 0, 0, 25, 0, 25, 25, 0, 0, 80, 64, 90, 0, 0
INVAR-1, Run: 057, F, 0, 3, 1, 1, 0, 1, 5, 1, 2, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 98, 0, 104, 92, 87, 102, 100, 115, 78, 76, 0, 97, 0, 37, 36, 0, 29, 116, 0, 0, 0, 113, 100, 114, 112, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 37, 0, 40, 38, 0, 0, 90, 60, 105, 0, 0
INVAR-1, Run: 058, F, 0, 0, 1, 1, 0, 2, 4, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 104, 98, 94, 81, 81, 84, 59, 105, 0, 102, 0, 25, 58, 0, 27, 118, 0, 0, 0, 118, 121, 106, 107, 1, 1, 0, 0, 0, 0, 0, 0, 121, 0, 0, 47, 0, 47, 47, 0, 0, 117, 89, 106, 0, 0
INVAR-1, Run: 059, F, 0, 2, 1, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 87, 0, 100, 108, 108, 91, 91, 81, 48, 42, 0, 86, 0, 33, 20, 0, 14, 100, 0, 0, 0, 99, 63, 96, 95, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 21, 0, 21, 21, 0, 0, 75, 59, 101, 0, 0
INVAR-1, Run: 060, F, 0, 0, 1, 3, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 90, 0, 100, 85, 85, 94, 94, 103, 71, 60, 0, 87, 0, 30, 27, 0, 32, 101, 0, 0, 0, 101, 94, 117, 118, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 33, 0, 33, 33, 0, 0, 96, 62, 100, 0, 0
INVAR-1, Run: 061, F, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 91, 0, 92, 108, 108, 97, 96, 91, 54, 66, 0, 91, 0, 37, 30, 0, 17, 104, 0, 0, 0, 104, 62, 100, 101, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 36, 0, 36, 36, 0, 0, 77, 60, 92, 0, 0
INVAR-1, Run: 062, F, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 80, 61, 60, 99, 98, 116, 100, 69, 0, 94, 0, 15, 28, 0, 28, 81, 0, 0, 0, 81, 91, 91, 92, 1, 1, 0, 0, 0, 0, 0, 0, 90, 0, 0, 41, 0, 41, 41, 0, 0, 86, 58, 80, 0, 0
INVAR-1, Run: 063, F, 0, 0, 1, 1, 0, 0, 0, 1, 2, 5, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 110, 0, 101, 103, 103, 103, 101, 85, 45, 73, 0, 109, 0, 35, 39, 1, 28, 93, 0, 0, 0, 93, 98, 92, 93, 2, 2, 2, 2, 4, 3, 2, 0, 97, 0, 1, 33, 1, 34, 34, 1, 1, 107, 78, 101, 0, 0
INVAR-1, Run: 064, F, 0, 0, 1, 3, 0, 2, 3, 1, 0, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 95, 0, 117, 135, 132, 86, 86, 78, 41, 61, 0, 92, 0, 37, 28, 0, 17, 110, 0, 0, 0, 110, 89, 84, 85, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 30, 0, 31, 30, 0, 0, 84, 64, 119, 0, 0
INVAR-1, Run: 065, F, 0, 5, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 84, 0, 108, 93, 92, 97, 96, 88, 56, 62, 0, 84, 0, 31, 25, 0, 24, 98, 0, 0, 0, 96, 85, 123, 119, 2, 2, 0, 0, 0, 0, 0, 0, 85, 0, 0, 37, 0, 37, 37, 0, 0, 81, 57, 110, 0, 0
INVAR-1, Run: 066, F, 0, 0, 1, 2, 0, 1, 3, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 89, 0, 102, 106, 103, 107, 107, 98, 56, 57, 0, 87, 0, 41, 24, 0, 35, 74, 0, 0, 0, 73, 104, 72, 73, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 33, 0, 33, 33, 0, 0, 102, 66, 103, 0, 0
INVAR-1, Run: 067, F, 0, 0, 1, 1, 0, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 102, 0, 92, 90, 87, 103, 103, 109, 73, 67, 0, 101, 0, 35, 26, 0, 29, 80, 0, 0, 0, 79, 92, 79, 80, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 41, 0, 41, 41, 0, 0, 93, 64, 93, 0, 0
INVAR-1, Run: 068, F, 0, 2, 1, 3, 0, 1, 0, 1, 0, 0, 3, 2, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 97, 0, 91, 116, 116, 111, 111, 87, 47, 101, 0, 94, 0, 40, 42, 1, 37, 93, 0, 0, 0, 92, 128, 87, 86, 2, 2, 2, 2, 2, 1, 2, 0, 125, 0, 1, 54, 1, 57, 56, 1, 1, 121, 81, 92, 0, 0
INVAR-1, Run: 069, F, 0, 0, 1, 0, 0, 4, 4, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 110, 0, 111, 106, 102, 102, 102, 107, 64, 70, 0, 110, 0, 43, 41, 0, 44, 107, 0, 0, 0, 107, 106, 122, 123, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 27, 0, 28, 27, 0, 0, 112, 67, 115, 0, 0
INVAR-1, Run: 070, F, 0, 4, 1, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 86, 0, 106, 123, 121, 98, 98, 93, 55, 71, 0, 86, 0, 38, 36, 0, 20, 112, 0, 0, 0, 111, 79, 134, 131, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 35, 0, 35, 35, 0, 0, 95, 75, 108, 0, 0
INVAR-1, Run: 071, F, 0, 0, 1, 1, 0, 3, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 89, 0, 85, 104, 104, 84, 84, 84, 62, 74, 0, 88, 0, 22, 40, 0, 30, 83, 0, 0, 0, 82, 79, 84, 85, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 34, 0, 34, 34, 0, 0, 100, 69, 88, 0, 0
INVAR-1, Run: 072, F, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 90, 0, 84, 83, 83, 117, 117, 121, 82, 50, 0, 90, 0, 38, 31, 0, 28, 101, 0, 0, 0, 99, 72, 105, 104, 1, 1, 0, 0, 1, 0, 0, 0, 72, 0, 0, 19, 1, 19, 19, 0, 0, 75, 47, 84, 0, 0
INVAR-1, Run: 073, F, 0, 3, 1, 1, 0, 2, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 90, 75, 74, 120, 119, 125, 88, 80, 0, 96, 0, 36, 36, 0, 30, 105, 0, 0, 0, 104, 108, 102, 100, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 44, 0, 44, 44, 0, 0, 112, 82, 92, 0, 0
INVAR-1, Run: 074, F, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92, 0, 110, 127, 126, 121, 120, 100, 53, 54, 0, 91, 0, 47, 26, 0, 33, 80, 0, 0, 0, 78, 87, 86, 86, 1, 1, 0, 0, 0, 0, 0, 0, 85, 0, 0, 28, 0, 28, 28, 0, 0, 86, 53, 111, 0, 0
INVAR-1, Run: 075, F, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 99, 0, 101, 84, 83, 97, 96, 79, 38, 75, 0, 98, 0, 40, 39, 0, 24, 77, 0, 0, 0, 75, 85, 62, 63, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 36, 0, 36, 36, 0, 0, 91, 67, 102, 0, 0
INVAR-1, Run: 076, F, 0, 4, 1, 1, 0, 1, 0, 1, 1, 1, 2, 0, 0, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 100, 0, 105, 95, 95, 92, 91, 87, 44, 104, 0, 99, 0, 42, 57, 0, 25, 95, 0, 0, 0, 91, 103, 95, 92, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 47, 0, 47, 47, 0, 0, 121, 94, 106, 0, 0
INVAR-1, Run: 077, F, 0, 0, 1, 2, 0, 1, 0, 1, 4, 3, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 97, 77, 77, 105, 101, 91, 60, 46, 0, 99, 0, 28, 23, 0, 28, 96, 0, 0, 0, 95, 97, 81, 82, 1, 1, 0, 0, 0, 0, 0, 0, 97, 0, 0, 23, 0, 23, 23, 0, 0, 105, 75, 98, 0, 0
INVAR-1, Run: 078, F, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 107, 0, 96, 79, 79, 102, 101, 119, 83, 79, 0, 107, 0, 35, 30, 0, 43, 106, 0, 0, 0, 105, 121, 115, 116, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 49, 0, 49, 49, 0, 0, 109, 66, 97, 0, 0
INVAR-1, Run: 079, F, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 92, 0, 104, 81, 80, 107, 106, 107, 69, 87, 0, 90, 0, 38, 46, 0, 16, 69, 0, 0, 0, 69, 95, 73, 74, 2, 2, 2, 2, 0, 0, 0, 0, 95, 0, 0, 41, 0, 41, 41, 0, 0, 86, 70, 104, 0, 0
INVAR-1, Run: 080, F, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 106, 0, 90, 82, 82, 99, 98, 72, 53, 85, 0, 106, 0, 17, 44, 0, 25, 122, 0, 0, 0, 122, 96, 112, 112, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 41, 0, 41, 41, 0, 0, 107, 82, 90, 0, 0
INVAR-1, Run: 081, F, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 111, 0, 92, 51, 51, 93, 93, 89, 74, 54, 0, 110, 0, 15, 24, 0, 30, 86, 0, 0, 0, 84, 97, 95, 96, 1, 1, 0, 0, 0, 0, 0, 0, 96, 0, 0, 30, 0, 30, 30, 0, 0, 105, 73, 92, 0, 0
INVAR-1, Run: 082, F, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 85, 0, 79, 96, 95, 106, 104, 100, 59, 59, 0, 85, 0, 41, 25, 0, 18, 95, 0, 0, 0, 95, 63, 111, 112, 2, 2, 0, 0, 1, 1, 0, 0, 63, 0, 0, 34, 0, 34, 34, 0, 0, 84, 66, 79, 0, 0
INVAR-1, Run: 083, F, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 118, 0, 84, 76, 76, 94, 94, 86, 51, 108, 0, 117, 0, 35, 53, 0, 31, 103, 0, 0, 0, 103, 122, 98, 99, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 52, 0, 54, 53, 0, 0, 130, 97, 84, 0, 0
INVAR-1, Run: 084, F, 0, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 101, 0, 97, 93, 92, 110, 109, 122, 63, 64, 0, 101, 0, 59, 30, 2, 36, 107, 0, 0, 0, 107, 112, 126, 125, 1, 1, 1, 1, 2, 0, 4, 0, 112, 0, 2, 34, 2, 34, 34, 2, 2, 95, 59, 97, 0, 0
INVAR-1, Run: 085, F, 0, 0, 1, 2, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88, 0, 92, 81, 81, 93, 92, 66, 43, 70, 0, 86, 0, 21, 30, 0, 13, 80, 0, 0, 0, 78, 82, 87, 88, 1, 1, 3, 3, 1, 0, 0, 0, 81, 0, 0, 40, 1, 40, 40, 0, 0, 82, 69, 92, 0, 0
INVAR-1, Run: 086, F, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1, 86, 0, 90, 107, 106, 93, 92, 96, 63, 44, 0, 86, 0, 33, 17, 2, 24, 105, 4, 4, 2, 106, 88, 84, 85, 4, 4, 9, 9, 10, 7, 5, 2, 87, 2, 3, 23, 3, 26, 25, 2, 2, 66, 41, 90, 0, 0
INVAR-1, Run: 087, F, 0, 0, 1, 1, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 95, 0, 83, 54, 54, 107, 107, 120, 90, 63, 0, 94, 0, 27, 36, 0, 37, 95, 0, 0, 0, 94, 111, 88, 89, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 24, 0, 27, 27, 0, 0, 91, 54, 83, 0, 0
INVAR-1, Run: 088, F, 0, 2, 1, 2, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 102, 0, 83, 86, 86, 106, 104, 105, 66, 54, 0, 100, 0, 38, 29, 0, 17, 115, 0, 0, 0, 113, 87, 127, 126, 1, 1, 1, 1, 0, 0, 0, 0, 87, 0, 0, 24, 0, 25, 24, 0, 0, 87, 70, 83, 0, 0
INVAR-1, Run: 089, F, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 82, 0, 90, 100, 100, 107, 107, 89, 56, 61, 1, 82, 1, 33, 35, 2, 14, 109, 0, 0, 0, 109, 69, 101, 102, 4, 4, 5, 5, 2, 1, 3, 0, 66, 0, 1, 26, 1, 26, 26, 2, 2, 67, 53, 90, 0, 0
INVAR-1, Run: 090, F, 0, 1, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 91, 0, 109, 91, 91, 107, 104, 105, 68, 62, 0, 91, 0, 35, 35, 0, 32, 90, 0, 0, 0, 89, 76, 111, 111, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 27, 0, 27, 27, 0, 0, 81, 49, 109, 0, 0
INVAR-1, Run: 091, F, 0, 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 109, 112, 111, 111, 111, 97, 53, 61, 0, 92, 0, 44, 29, 0, 16, 117, 0, 0, 0, 116, 91, 116, 115, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 32, 0, 32, 32, 0, 0, 86, 69, 110, 0, 0
INVAR-1, Run: 092, F, 0, 0, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 111, 94, 93, 100, 98, 106, 72, 87, 0, 94, 0, 33, 47, 0, 42, 93, 0, 0, 0, 92, 90, 110, 111, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 40, 0, 40, 40, 0, 0, 105, 63, 112, 0, 0
INVAR-1, Run: 093, F, 0, 0, 1, 0, 0, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 103, 0, 92, 70, 68, 88, 87, 77, 57, 103, 0, 103, 0, 20, 48, 0, 22, 102, 0, 0, 0, 101, 103, 107, 108, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 55, 0, 55, 55, 0, 0, 108, 86, 95, 0, 0
INVAR-1, Run: 094, F, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 95, 0, 95, 92, 91, 97, 96, 81, 59, 66, 0, 94, 0, 22, 33, 0, 29, 92, 0, 0, 0, 92, 109, 103, 104, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 32, 0, 33, 33, 0, 0, 100, 71, 95, 0, 0
INVAR-1, Run: 095, F, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 113, 0, 102, 81, 81, 114, 114, 121, 79, 66, 0, 112, 0, 42, 36, 0, 34, 77, 0, 0, 0, 75, 110, 89, 89, 1, 1, 0, 0, 0, 0, 0, 0, 109, 0, 0, 29, 0, 29, 29, 0, 0, 107, 70, 102, 0, 0
INVAR-1, Run: 096, F, 0, 0, 1, 0, 0, 1, 3, 1, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 104, 0, 87, 89, 86, 101, 98, 114, 83, 56, 0, 104, 0, 30, 24, 0, 24, 92, 0, 0, 0, 92, 98, 100, 101, 3, 3, 2, 2, 3, 3, 1, 0, 98, 0, 1, 32, 0, 32, 32, 0, 0, 89, 65, 88, 0, 0
INVAR-1, Run: 097, F, 0, 0, 1, 2, 0, 2, 2, 1, 3, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 114, 117, 115, 109, 106, 113, 61, 96, 0, 95, 0, 51, 48, 0, 34, 123, 0, 0, 0, 121, 93, 80, 81, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 48, 0, 48, 48, 0, 0, 118, 84, 116, 0, 0
INVAR-1, Run: 098, F, 0, 2, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 96, 4, 105, 122, 122, 96, 94, 100, 58, 90, 8, 96, 8, 42, 51, 1, 25, 76, 0, 0, 0, 72, 108, 61, 60, 1, 1, 0, 0, 1, 1, 1, 0, 108, 0, 0, 37, 0, 38, 38, 1, 1, 108, 82, 101, 8, 8
INVAR-1, Run: 099, F, 0, 3, 1, 1, 0, 0, 3, 1, 3, 1, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 109, 0, 80, 80, 77, 100, 97, 100, 53, 90, 0, 108, 0, 46, 52, 0, 37, 89, 0, 0, 0, 87, 120, 70, 68, 1, 1, 0, 0, 0, 0, 0, 0, 118, 0, 0, 36, 0, 38, 36, 0, 0, 112, 75, 80, 0, 0
INVAR-1, Run: 100, F, 0, 5, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88, 0, 119, 110, 110, 98, 97, 97, 55, 47, 0, 87, 0, 42, 27, 0, 17, 112, 0, 0, 0, 111, 64, 100, 96, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 20, 0, 20, 20, 0, 0, 72, 55, 120, 0, 0
